Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,625.000000,640.000000,620.000000,630.000000,615.587463,14424300
2017-09-29,635.000000,660.000000,625.000000,640.000000,625.358704,24072600
2017-10-02,640.000000,650.000000,635.000000,640.000000,625.358704,16530400
2017-10-03,650.000000,655.000000,635.000000,645.000000,630.244324,17013200
2017-10-04,655.000000,665.000000,650.000000,650.000000,635.129944,24907700
2017-10-05,650.000000,660.000000,645.000000,645.000000,630.244324,8762500
2017-10-06,645.000000,655.000000,645.000000,650.000000,635.129944,5793900
2017-10-09,650.000000,660.000000,645.000000,650.000000,635.129944,12896700
2017-10-10,655.000000,665.000000,655.000000,660.000000,644.901123,18229500
2017-10-11,660.000000,665.000000,640.000000,640.000000,625.358704,10587800
2017-10-12,645.000000,655.000000,640.000000,650.000000,635.129944,12507300
2017-10-13,650.000000,660.000000,645.000000,645.000000,630.244324,11977700
2017-10-16,655.000000,675.000000,650.000000,655.000000,640.015503,35225800
2017-10-17,660.000000,660.000000,650.000000,650.000000,635.129944,6222200
2017-10-18,650.000000,665.000000,645.000000,655.000000,640.015503,25437000
2017-10-19,660.000000,665.000000,650.000000,660.000000,644.901123,14121600
2017-10-20,660.000000,670.000000,650.000000,660.000000,644.901123,13645500
2017-10-23,660.000000,665.000000,645.000000,645.000000,630.244324,12261700
2017-10-24,645.000000,655.000000,645.000000,645.000000,630.244324,7100400
2017-10-25,650.000000,655.000000,640.000000,645.000000,630.244324,26980900
2017-10-26,650.000000,660.000000,645.000000,655.000000,640.015503,24938000
2017-10-27,655.000000,660.000000,645.000000,645.000000,630.244324,23814100
2017-10-30,650.000000,655.000000,645.000000,645.000000,630.244324,21423800
2017-10-31,650.000000,655.000000,640.000000,645.000000,630.244324,20497400
2017-11-01,655.000000,720.000000,655.000000,710.000000,693.757263,187604600
2017-11-02,720.000000,720.000000,665.000000,670.000000,654.672363,256093000
2017-11-03,670.000000,675.000000,660.000000,670.000000,654.672363,22853300
2017-11-06,670.000000,675.000000,660.000000,670.000000,654.672363,28975500
2017-11-07,675.000000,705.000000,665.000000,695.000000,679.100464,103506100
2017-11-08,700.000000,710.000000,685.000000,705.000000,688.871643,63204500
2017-11-09,715.000000,725.000000,695.000000,710.000000,693.757263,103690000
2017-11-10,705.000000,715.000000,700.000000,705.000000,688.871643,38442300
2017-11-13,705.000000,705.000000,680.000000,685.000000,669.329224,83549000
2017-11-14,695.000000,700.000000,675.000000,680.000000,664.443604,42247300
2017-11-15,675.000000,680.000000,655.000000,660.000000,644.901123,45943200
2017-11-16,660.000000,670.000000,655.000000,660.000000,644.901123,25308500
2017-11-17,660.000000,680.000000,660.000000,660.000000,644.901123,34187200
2017-11-20,665.000000,670.000000,660.000000,665.000000,649.786743,14196200
2017-11-21,665.000000,670.000000,660.000000,665.000000,649.786743,10088000
2017-11-22,665.000000,670.000000,655.000000,660.000000,644.901123,20933300
2017-11-23,665.000000,670.000000,660.000000,660.000000,644.901123,6915400
2017-11-24,660.000000,665.000000,650.000000,660.000000,644.901123,14418800
2017-11-27,660.000000,665.000000,655.000000,655.000000,640.015503,12238700
2017-11-28,655.000000,660.000000,645.000000,650.000000,635.129944,23712100
2017-11-29,650.000000,685.000000,650.000000,665.000000,649.786743,28563000
2017-11-30,665.000000,675.000000,655.000000,665.000000,649.786743,12440800
2017-12-01,665.000000,665.000000,665.000000,665.000000,649.786743,0
2017-12-04,655.000000,665.000000,650.000000,650.000000,635.129944,12930500
2017-12-05,655.000000,655.000000,625.000000,630.000000,615.587463,23577400
2017-12-06,630.000000,640.000000,610.000000,610.000000,596.044983,26738900
2017-12-07,610.000000,625.000000,600.000000,605.000000,591.159363,23986400
2017-12-08,605.000000,635.000000,605.000000,625.000000,610.701904,45310200
2017-12-11,625.000000,630.000000,600.000000,605.000000,591.159363,16493100
2017-12-12,605.000000,615.000000,600.000000,605.000000,591.159363,11540300
2017-12-13,605.000000,625.000000,605.000000,620.000000,605.816223,9749200
2017-12-14,620.000000,640.000000,620.000000,635.000000,620.473083,16982600
2017-12-15,635.000000,640.000000,625.000000,630.000000,615.587463,10841200
2017-12-18,640.000000,645.000000,630.000000,635.000000,620.473083,9895500
2017-12-19,640.000000,650.000000,635.000000,645.000000,630.244324,16647700
2017-12-20,645.000000,650.000000,625.000000,630.000000,615.587463,9719700
2017-12-21,630.000000,640.000000,625.000000,625.000000,610.701904,9024500
2017-12-22,630.000000,640.000000,625.000000,630.000000,615.587463,7568100
2017-12-25,630.000000,630.000000,630.000000,630.000000,615.587463,0
2017-12-26,630.000000,630.000000,630.000000,630.000000,615.587463,0
2017-12-27,635.000000,640.000000,630.000000,635.000000,620.473083,11145100
2017-12-28,635.000000,640.000000,620.000000,620.000000,605.816223,30355400
2017-12-29,625.000000,630.000000,625.000000,625.000000,610.701904,23985600
2018-01-01,625.000000,625.000000,625.000000,625.000000,610.701904,0
2018-01-02,635.000000,645.000000,625.000000,635.000000,620.473083,36621000
2018-01-03,635.000000,655.000000,630.000000,630.000000,615.587463,43607600
2018-01-04,635.000000,645.000000,635.000000,640.000000,625.358704,15064900
2018-01-05,645.000000,660.000000,645.000000,655.000000,640.015503,49323700
